,ID,BatteryLevel,Lat,Lng,Type,Status,Heure,Jour
0,e90536f1-7b8d-4284-bf45-c337b418875c,83,48.839288,2.29862,escooter,ACTIVE,14h,Samedi
1,f6858f70-1f06-4665-8823-9290851a3daf,40,48.855863,2.386251,escooter,ACTIVE,14h,Samedi
2,96633de0-823c-4836-addb-e15fa41e26c6,55,48.822732,2.340557,escooter,ACTIVE,14h,Samedi
3,38fdd288-de12-417d-9b4a-bb9591d5b5c3,87,48.847961,2.397637,escooter,ACTIVE,14h,Samedi
4,12f17a08-2dc7-45b0-8b49-95d26b743056,89,48.848443,2.331597,escooter,ACTIVE,14h,Samedi
5,458760c1-8f94-4732-a42e-5fcdf3ac0b66,94,48.86948,2.331909,escooter,ACTIVE,14h,Samedi
6,b2dffff1-c588-4508-8f2d-784b277b3d59,69,48.85159,2.314347,escooter,ACTIVE,14h,Samedi
7,ab13f0f0-34a4-497e-aa5a-cbb6d186e2b2,41,48.870873,2.281014,escooter,ACTIVE,14h,Samedi
8,46d4c3be-91cd-443d-8841-4438d74f8891,52,48.833752,2.395195,escooter,ACTIVE,14h,Samedi
9,beb2d0c7-e42d-4339-b13d-d815fe3561dd,83,48.867848,2.337149,escooter,ACTIVE,14h,Samedi
10,18122104-8e30-47b0-bf14-53212ebe1e94,81,48.848883,2.329152,escooter,ACTIVE,14h,Samedi
11,1fa4a452-f90f-4d6d-8757-8f68786ce60a,66,48.858313,2.388202,escooter,ACTIVE,14h,Samedi
12,a8c7f689-e22e-4037-907d-d8e3674e7f08,70,48.885631,2.288752,escooter,ACTIVE,14h,Samedi
13,a8b8e186-4877-458a-a93e-52900c1aba3f,67,48.8666428640414,2.32653736470224,escooter,ACTIVE,14h,Samedi
14,83d0c8dc-ab3b-4818-9777-403c69d6a9bd,98,48.869197,2.297411,escooter,ACTIVE,14h,Samedi
15,47cc1d2f-4fe9-4285-9a2b-03cb84b136ab,61,48.871769,2.306071,escooter,ACTIVE,14h,Samedi
16,c0c9af39-2900-465b-b087-83634a5f3859,70,48.86658,2.33486,escooter,ACTIVE,14h,Samedi
17,b8ea32da-e933-472d-a733-6d3018118a59,100,48.831074,2.323912,escooter,ACTIVE,14h,Samedi
18,0edb6fa6-eee6-4969-af06-969ce28087d8,75,48.856592,2.309202,escooter,ACTIVE,14h,Samedi
19,ce51e2f0-3d60-450f-bd69-be648161f01c,49,48.857156,2.283162,escooter,ACTIVE,14h,Samedi
20,b126ad95-0f71-4c82-9003-5aa7128338cc,83,48.856674,2.320758,escooter,ACTIVE,14h,Samedi
21,9ae57fe7-2af3-4f70-90f7-f78450e65a89,83,48.840381,2.392323,escooter,ACTIVE,14h,Samedi
22,e1802a8e-0ff5-476e-8f92-071d05010d66,88,48.840531,2.400354,escooter,ACTIVE,14h,Samedi
23,2eb1a868-33c5-4a5a-a5b1-f8dc8b5b241f,73,48.841151,2.280744,escooter,ACTIVE,14h,Samedi
24,b0f21999-91f4-4975-bea7-9a03b554e1e9,75,48.873691,2.336464,escooter,ACTIVE,14h,Samedi
25,c61f0acb-bb31-4980-aff9-1f2fb5ad18fc,55,48.831137,2.374169,escooter,ACTIVE,14h,Samedi
26,71fedc5d-d50b-4705-a78a-4fe2e13b7842,62,48.87874,2.331429,escooter,ACTIVE,14h,Samedi
27,986e33a0-cc33-4349-9459-f7ad4c8fbb91,81,48.8306,2.313982,escooter,ACTIVE,14h,Samedi
28,27de5756-256b-4481-8596-624217623d94,100,48.848094,2.271633,escooter,ACTIVE,14h,Samedi
29,c4c3bedc-0df1-4b93-8fd7-ba648099146d,91,48.857844,2.3663,escooter,ACTIVE,14h,Samedi
30,6563994a-c7df-4534-880d-14a19b24ba35,100,48.853145,2.317452,escooter,ACTIVE,14h,Samedi
31,3f93ee99-9e1e-4d68-a69f-06634994e675,88,48.84098,2.262264,escooter,ACTIVE,14h,Samedi
32,3bf0fd5b-8eaa-449f-b5ba-844d5b5b63b8,60,48.862667,2.359251,escooter,ACTIVE,14h,Samedi
33,9a486e91-33a4-47a2-b434-8f21c2ed7504,89,48.846511,2.397475,escooter,ACTIVE,14h,Samedi
34,7de37bcf-89e4-445b-b18a-41ca0800886a,99,48.883799,2.343372,escooter,ACTIVE,14h,Samedi
35,1561adc1-f04e-4195-bc5d-7d70b42c3fad,62,48.846749,2.346456,escooter,ACTIVE,14h,Samedi
36,9af20308-7a78-470e-a830-e506907cc7ad,93,48.885451,2.333325,escooter,ACTIVE,14h,Samedi
37,3314e680-dcdf-4552-8772-80f6cb6d5413,56,48.869615,2.282309,escooter,ACTIVE,14h,Samedi
38,e4b0e19b-d99d-4725-bb99-1f0e8ebc949f,32,48.878189,2.355605,escooter,ACTIVE,14h,Samedi
